City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
471,Ocós,14.5094,-92.1933,63.73,90,32,2.68
472,Dunedin,-45.8742,170.5036,55.0,72,15,13.0
473,Kampot,10.6167,104.1833,84.96,48,0,11.5
474,Deep River,46.1001,-77.4995,5.0,66,90,3.44
475,Saint-Honoré,48.5334,-71.0824,2.07,72,92,10.36
476,Goya,-29.14,-59.2626,78.15,71,7,6.71
477,Laas,46.6166,10.7002,27.7,93,40,5.75
478,Hamilton,39.1834,-84.5333,23.63,68,75,5.75
479,Campana,-34.1687,-58.9591,67.3,94,0,2.3
480,Ust-Maya,60.4167,134.5333,-39.46,76,94,0.81
481,Bač,45.3919,19.2367,37.33,100,100,4.61
482,Phetchaburi,12.9667,99.5833,93.0,39,100,7.52
483,Canto do Buriti,-8.11,-42.9444,71.58,85,88,1.25
484,Bundaberg,-24.85,152.35,83.25,61,75,14.97
485,Tres Arroyos,-38.3739,-60.2798,56.61,77,65,7.07
486,Mayor Pablo Lagerenza,-19.9309,-60.7718,77.41,76,92,8.7
487,Umba,66.6871,34.3429,8.85,95,100,11.56
488,Luís Correia,-2.8792,-41.6669,78.49,84,75,12.95
489,Staryy Nadym,65.6118,72.6842,-40.9,79,25,4.79
490,San Juan,-31.5375,-68.5364,80.47,31,0,21.03
491,Dalbandin,28.8947,64.4101,62.13,20,1,4.07
492,Pacific Grove,36.6177,-121.9166,45.18,87,1,3.44
493,General Roca,-39.0333,-67.5833,62.6,82,0,4.99
494,Urusha,54.05,122.9,-19.84,79,29,2.19
495,Santa Rosalía,27.3167,-112.2833,58.75,71,0,6.6
496,Marabu,4.4148,114.0089,88.36,70,40,8.05
497,Ulaangom,49.9811,92.0667,2.43,90,66,3.2
498,Anantapur,14.6833,77.6,82.71,30,71,8.66
499,Vardø,70.3705,31.1107,26.38,97,100,21.77
500,Korla,41.7597,86.1469,29.89,75,0,7.11
501,Nyrob,60.733,56.7202,3.83,91,100,9.84
502,Strezhevoy,60.7333,77.5889,-40.0,74,90,4.47
503,Montluçon,46.3333,2.6,45.0,95,100,5.01
504,Tabou,4.423,-7.3528,77.74,87,22,6.08
505,Moerai,-22.4333,-151.3333,81.16,70,23,12.64
506,Stornoway,58.2093,-6.3865,37.4,70,20,9.22
507,Berdigestyakh,62.0989,126.6992,-39.73,77,100,0.67
508,Kompaniyivka,48.2511,32.208,28.45,95,100,6.22
509,Miyako,39.6367,141.9525,32.76,81,2,23.89
510,Shimoda,34.6667,138.95,44.98,46,20,3.44
511,Laguna,38.421,-121.4238,41.9,87,1,3.62
512,Alice,27.7523,-98.0697,67.3,72,90,11.5
513,Manaus,-3.1019,-60.025,74.32,94,40,2.3
514,Plácido de Castro,-10.3353,-67.1856,73.27,94,78,2.06
515,Tiznit Province,29.5833,-9.5,57.16,45,0,3.11
516,Okakarara,-20.5833,17.4333,68.67,77,88,2.46
517,Kuala Pilah,2.7389,102.2487,85.6,66,20,11.5
518,Ouadda,8.0777,22.4007,69.46,22,62,8.66
519,Teleneşti,47.4997,28.3656,32.0,93,100,10.36
520,Ilkal,15.9667,76.1333,80.55,37,0,9.91
521,Vasai,19.47,72.8,82.4,36,19,3.44
522,Vaitape,-16.5167,-151.75,81.41,65,100,4.99
523,Gempol,-7.1827,111.6137,81.32,82,100,17.29
524,Andenes,69.3143,16.1194,23.36,68,75,12.66
525,Ulladulla,-35.35,150.4667,83.43,65,40,8.05
526,Vestmannaeyjar,63.4427,-20.2734,35.13,84,100,9.08
527,Mariental,-24.6333,17.9667,73.11,21,17,6.04
528,Kiunga,-6.1219,141.2906,77.18,96,97,4.14
529,Palmer,42.1584,-72.3287,7.75,66,1,6.15
530,Dolores,-36.3132,-57.6792,67.98,46,53,6.2
531,Turukhansk,65.8167,87.9833,-28.75,77,82,5.57
532,Leshukonskoye,64.8989,45.7622,14.4,96,100,8.93
533,Great Yarmouth,52.6083,1.7305,39.4,87,90,13.8
534,Bilibino,68.0546,166.4372,-25.33,80,0,4.54
535,Tabuk,17.4189,121.4443,70.43,78,92,6.89
536,Ust'-Kulom,61.6864,53.6902,16.43,96,100,11.59
